Episode: 0, Steps: 100, Reward: -839.0748599033411, Best reward: -inf, Avg reward: -839.0748599033411
Episode: 0, Steps: 100, Reward: -699.787090015899, Best reward: -inf, Avg reward: -699.787090015899
Episode: 0, Steps: 100, Reward: -423.43845490995966, Best reward: -inf, Avg reward: -423.43845490995966
Episode: 0, Steps: 100, Reward: -724.7113197945895, Best reward: -inf, Avg reward: -724.7113197945895
Episode: 0, Steps: 100, Reward: -832.0233987240255, Best reward: -inf, Avg reward: -832.0233987240255
Episode: 1, Steps: 100, Reward: -583.7100123710389, Best reward: -832.0233987240255, Avg reward: -583.7100123710389
Episode: 0, Steps: 100, Reward: -1.0831362203009371, Best reward: -inf, Avg reward: -1.0831362203009371
Episode: 1, Steps: 100, Reward: -1.2766428163970944, Best reward: -1.0831362203009371, Avg reward: -1.2766428163970944
Episode: 2, Steps: 100, Reward: -1.2459260479356236, Best reward: -1.0831362203009371, Avg reward: -1.2459260479356236
Episode: 3, Steps: 100, Reward: -1.201019013251384, Best reward: -1.0831362203009371, Avg reward: -1.201019013251384
Episode: 4, Steps: 100, Reward: -1.22180924282679, Best reward: -1.0831362203009371, Avg reward: -1.22180924282679
Episode: 5, Steps: 100, Reward: -0.8740921978758311, Best reward: -1.0831362203009371, Avg reward: -0.8740921978758311
Episode: 6, Steps: 100, Reward: -0.18425825855114947, Best reward: -0.8740921978758311, Avg reward: -0.18425825855114947
Episode: 7, Steps: 100, Reward: -0.19311638421110375, Best reward: -0.18425825855114947, Avg reward: -0.19311638421110375
Episode: 8, Steps: 100, Reward: -0.17478344102818916, Best reward: -0.18425825855114947, Avg reward: -0.17478344102818916
Episode: 9, Steps: 100, Reward: -0.20016361477648328, Best reward: -0.17478344102818916, Avg reward: -0.20016361477648328
Episode: 10, Steps: 100, Reward: -0.19820124615739534, Best reward: -0.17478344102818916, Avg reward: -0.19820124615739534
Episode: 11, Steps: 100, Reward: -0.2092105173832083, Best reward: -0.17478344102818916, Avg reward: -0.2092105173832083
Episode: 12, Steps: 100, Reward: -0.21148820114208744, Best reward: -0.17478344102818916, Avg reward: -0.21148820114208744
